gene;frequency
TPD52L2;0.241
NEDD4L;0.24
ARHGEF11;0.239
NMT1;0.237
KRT1;0.235
UBE2E3;0.234
PPP1R13L;0.233
HNRNPM;0.232
ZEB1;0.231
INPP5A;0.23
SOS1;0.229
KPNB1;0.227
ITGA6;0.224
ABL2;0.224
FBXW7;0.223
VAV3;0.223
RPL7;0.222
FXYD1;0.22
HMG20B;0.219
POU2F3;0.218
UPF2;0.217
KIT;0.216
FEZ1;0.213
TFPT;0.213
WIPI1;0.213
PLAGL1;0.211
FLOT1;0.211
NCK1;0.207
CCND2;0.207
KRT10;0.207
NFKBIA;0.202
PARD3;0.2
HDAC5;0.199
SHC1;0.197
BCL11A;0.197
MED15;0.197
F5;0.195
PPIB;0.194
HTR2A;0.193
SPON1;0.193
GNPDA1;0.189
SORBS2;0.187
ITGB5;0.187
CA12;0.186
TRIM29;0.185
PON2;0.185
ARPC1B;0.184
SPINT1;0.184
ADPGK;0.182
RAB27A;0.181
FBLN2;0.181
ZNHIT1;0.18
TOX4;0.178
CBLC;0.176
BIN1;0.176
CSK;0.175
PHACTR1;0.175
DKK3;0.175
CTNNBIP1;0.174
VDR;0.173
EP300;0.173
RXRA;0.173
HSD17B4;0.173
CRK;0.172
TBK1;0.168
EPHA2;0.165
DHCR24;0.165
GPRIN2;0.165
PIM1;0.163
EPS8L2;0.162
ACTN4;0.161
EIF3E;0.16
EIF2AK2;0.156
MDC1;0.155
GIPC2;0.155
SMARCA2;0.154
CADPS;0.154
MAGEH1;0.154
GRB10;0.153
ENO2;0.153
COX6C;0.153
SMARCA4;0.152
SGK1;0.151
FOXM1;0.151
RRAS;0.151
EIF6;0.15
NFIB;0.15
GNAQ;0.149
PBX3;0.149
ITPK1;0.148
DCTN3;0.147
DDR2;0.146
PXN;0.144
GPI;0.144
RIN2;0.143
BCOR;0.142
DCN;0.142
CRMP1;0.141
PPP2R1B;0.141
CTNNB1;0.141
PAFAH1B3;0.14
L1CAM;0.139
EFS;0.139
TCOF1;0.139
TFAP2C;0.138
PKP3;0.137
CNTN1;0.136
XPO1;0.136
TCF7L1;0.136
FOXO1;0.136
TCF7L2;0.135
NCSTN;0.135
VCL;0.135
KAT5;0.135
EIF2AK3;0.134
BCL2L1;0.133
RAB25;0.132
LPAR1;0.132
MYC;0.131
ERBB2;0.13
HSPH1;0.13
STX3;0.129
DDB2;0.128
CCNO;0.126
ERP29;0.126
CAPN2;0.125
PSMC5;0.124
PER2;0.124
NR3C1;0.123
ARHGEF2;0.122
UBA1;0.122
MSN;0.121
AZGP1;0.121
CUL1;0.12
CUX1;0.119
TEAD4;0.119
F2RL1;0.119
WAC;0.119
RRAS2;0.118
EIF4EBP1;0.118
KIF23;0.117
PLXNB3;0.116
IL16;0.114
SRGAP3;0.113
PPP1R13B;0.113
PAXIP1;0.112
LRP1;0.112
MAP3K4;0.111
ARID3A;0.111
HSPA4;0.111
TBP;0.11
PRKCZ;0.11
CIRBP;0.11
CALM1;0.109
COX5A;0.108
NR2F2;0.107
RORA;0.107
SMURF1;0.105
BACE2;0.105
EAPP;0.105
DAXX;0.104
MMP14;0.104
DSG1;0.104
PPP1R11;0.104
CREG1;0.103
SV2A;0.103
FAM173A;0.103
CIDEA;0.102
DSTN;0.101
ANK2;0.1
TRIB2;0.1
SHB;0.099
ACVR1B;0.098
IFNGR2;0.097
VPS72;0.097
HOOK1;0.097
KDR;0.096
CTNND2;0.095
ADAM15;0.094
STK39;0.094
SAE1;0.094
TPX2;0.094
PRC1;0.094
NR2F1;0.094
PIK3R1;0.093
NFE2L2;0.093
PALLD;0.093
DTNB;0.093
CCNE1;0.093
FAM46A;0.093
FHL2;0.092
ZHX2;0.092
CITED1;0.092
GALT;0.092
RFX1;0.091
NCOA4;0.091
CDK5R1;0.091
GSK3A;0.091
RACGAP1;0.09
SND1;0.09
PPL;0.09
WDYHV1;0.09
PTPRA;0.089
VDAC1;0.089
MLX;0.089
SYT17;0.089
MN1;0.089
CAPN1;0.088
ARL4D;0.086
FBLN1;0.085
CFLAR;0.085
PDZD2;0.085
HMG20A;0.085
MYL12A;0.085
GIT1;0.084
EFEMP1;0.084
CEBPG;0.084
CDC42;0.084
SEMA4C;0.083
TF;0.083
EIF3I;0.082
PSMC2;0.082
RPN2;0.082
AP1M2;0.081
ATF5;0.081
CSNK2B;0.081
BLM;0.08
LGALS3BP;0.08
TFAP2A;0.08
RPL31;0.08
FER;0.079
LASP1;0.079
DFNA5;0.079
WASF1;0.078
PTMA;0.078
BSG;0.078
RB1;0.077
PPARGC1A;0.077
DAG1;0.077
GTF2E2;0.077
ENO1;0.077
TAF2;0.077
TACC2;0.077
DNMBP;0.077
C1orf216;0.077
SUMO4;0.077
ST13;0.077
DNAJA3;0.076
SNRPC;0.076
CTSD;0.076
IGFBP6;0.076
AGTR1;0.076
ROBO1;0.076
SMYD2;0.076
MINPP1;0.075
GRK6;0.074
PNRC2;0.074
NES;0.074
BRD1;0.074
EIF2S3;0.074
VIM;0.073
STRN4;0.073
BTG1;0.073
ACSL3;0.073
COL17A1;0.072
TNS1;0.072
FLNA;0.071
ZNF423;0.071
UBE3A;0.071
CSNK1D;0.071
ADAP1;0.07
HIST2H2BE;0.07
PSENEN;0.07
FKBP3;0.07
SLPI;0.07
RYR1;0.069
ITSN2;0.069
RPL15;0.069
FBLN5;0.068
SMURF2;0.067
TFRC;0.067
RASSF1;0.067
EPHA4;0.067
ZYX;0.066
STMN1;0.066
VSNL1;0.066
CLCA2;0.066
JUN;0.065
KPNA1;0.065
PTPN13;0.065
SLIT2;0.065
HR;0.065
LARP1;0.065
PSMD11;0.065
RPL24;0.065
PTK2B;0.064
TADA3;0.064
STAP2;0.064
KRT18;0.064
EIF4B;0.064
LGALS1;0.064
NOTCH2;0.064
TXNIP;0.063
PKP1;0.063
SNTB1;0.063
OSBPL3;0.063
SACS;0.063
AGRN;0.063
IRS2;0.062
FHOD1;0.062
HEY1;0.062
ING2;0.062
KAT2B;0.061
ACTR3;0.061
FBN1;0.061
RPL6;0.061
CITED2;0.06
ANXA1;0.06
NDUFA4L2;0.06
DIXDC1;0.059
ZFYVE16;0.059
COIL;0.058
FOS;0.058
RBP1;0.058
RPL41;0.058
KRT8;0.058
NDN;0.057
TFDP2;0.057
ID4;0.057
EHMT2;0.057
SQSTM1;0.056
HPCAL1;0.056
LAMB3;0.056
MAPK13;0.056
ITGA2;0.056
ALDOA;0.056
TAF4;0.055
CDK1;0.055
NRP1;0.055
TJP1;0.055
ZFAND6;0.055
TBL1X;0.055
CAT;0.055
CXADR;0.055
TMCC2;0.055
TYRO3;0.054
THRB;0.054
F10;0.054
USP33;0.054
RNF14;0.054
PAK6;0.054
NFIC;0.054
LIMK2;0.054
RNF11;0.054
ESRRA;0.054
USP9X;0.054
CCDC33;0.054
UBXN1;0.054
FLI1;0.053
PAPOLA;0.053
SERBP1;0.053
APBA3;0.053
MPZL1;0.053
HAX1;0.052
MEGF6;0.052
SOSTDC1;0.052
CIDEB;0.052
GAB2;0.051
TCF20;0.051
BCL11B;0.051
JAG1;0.051
MEGF8;0.051
UBAP2L;0.051
EGFR;0.05
LTBP4;0.05
IKZF5;0.05
CDC16;0.049
SEMA3F;0.049
BRCA1;0.049
SMARCC2;0.049
DPT;0.048
HOXA10;0.048
DSC1;0.048
ADAM12;0.047
MYB;0.047
CCT5;0.047
ATP2A2;0.047
MAX;0.047
MAGEA11;0.047
PSME3;0.047
DHRS1;0.047
HRAS;0.046
MAPK14;0.046
AKT3;0.046
SERTAD2;0.046
MEF2D;0.046
ARHGAP29;0.046
GNA11;0.046
HTRA1;0.046
CDK17;0.046
C14orf1;0.046
IGF2R;0.046
DYNC1H1;0.046
OAZ1;0.045
VAMP8;0.045
PIAS4;0.045
CAD;0.045
NTRK3;0.044
POLDIP2;0.044
BRMS1;0.044
BLOC1S1;0.044
MLPH;0.044
HSPE1;0.044
ELN;0.044
HOXB1;0.044
ATF4;0.043
RABAC1;0.043
PEA15;0.043
RNF8;0.043
ASS1;0.043
INHA;0.043
PRMT1;0.042
NCK2;0.042
EPHB4;0.042
SLIT3;0.042
GRB2;0.041
CCNB2;0.041
BCL2;0.041
PHYH;0.041
DUSP1;0.041
EIF3L;0.041
UBR7;0.041
MAF;0.04
PTPN3;0.04
CYFIP1;0.04
PLAG1;0.04
LAMC2;0.04
JAK1;0.039
PLK1;0.039
PPP2CA;0.039
PIP5K1C;0.039
BID;0.039
SAFB;0.039
CALCRL;0.039
SNUPN;0.039
IVNS1ABP;0.039
ZBTB5;0.039
SF3B1;0.038
CSNK1A1;0.038
CDK16;0.038
TRIM32;0.038
SDC1;0.038
HOXB6;0.038
ST5;0.038
BCAP31;0.037
GDI1;0.037
ITGB1;0.037
FGF1;0.037
SEMA6A;0.037
S100A1;0.036
FTL;0.036
NDC80;0.036
DOK4;0.036
MAST2;0.036
CARM1;0.036
CTSH;0.036
NFKBIE;0.036
FLII;0.036
RUSC2;0.036
PRMT5;0.035
CCNE2;0.035
PDCD6IP;0.035
GYS1;0.035
LAMA3;0.034
AATF;0.034
TM4SF1;0.034
CCNB1;0.034
MGMT;0.034
ZNF24;0.034
MPHOSPH9;0.034
PLP1;0.033
KIF5B;0.033
H2AFX;0.033
BEGAIN;0.033
FLG;0.033
ANXA3;0.033
MLLT3;0.033
RAI2;0.033
TARS;0.033
ANP32A;0.032
LGALS8;0.032
DCX;0.032
BSPRY;0.032
SNCA;0.032
PARK7;0.032
PPA1;0.032
SLC3A2;0.032
RPS9;0.032
PRKG1;0.031
IRAK1;0.031
MAP3K11;0.031
SNRPB;0.031
MELK;0.031
CDC34;0.031
GABPA;0.031
TMSB4X;0.031
NLRP1;0.031
NARS;0.031
OAT;0.031
TRIB3;0.031
ATP2B4;0.031
GSTO1;0.031
HOXC4;0.031
SDC2;0.03
FYN;0.03
RIC8B;0.03
PPP3CA;0.03
CDC25A;0.03
LMO2;0.03
HOXD4;0.03
NXN;0.03
SETDB1;0.029
EXPH5;0.029
AFF1;0.029
EEA1;0.029
CYP11A1;0.029
CDK9;0.029
NFKB1;0.029
HMMR;0.029
CREB1;0.029
RRM2;0.029
SERPINF1;0.029
GPT;0.029
COPS5;0.028
INPPL1;0.028
KCTD13;0.028
LPL;0.028
IQGAP1;0.028
EEF1A1;0.028
RAF1;0.028
PLXNA1;0.028
ING4;0.028
PRKCI;0.028
MED6;0.028
SSH1;0.028
SNCAIP;0.028
IRF7;0.028
KLC2;0.028
DDIT3;0.028
CLTB;0.028
TGIF1;0.027
TUBG1;0.027
APC;0.027
DNM2;0.027
P4HB;0.027
RANBP9;0.027
GEMIN4;0.027
COPS7A;0.027
GLRX3;0.027
HLA-A;0.027
RPS7;0.027
NECAB3;0.027
BAX;0.027
EPHA1;0.027
BRE;0.027
POLD4;0.027
TGFBR1;0.026
UNC119;0.026
POLA1;0.026
THRA;0.026
HABP4;0.026
EPN1;0.026
ZFPM2;0.026
PPP1CB;0.026
PSMB4;0.026
FEM1B;0.026
NCDN;0.026
RUVBL2;0.026
GOLGA2;0.026
MARK2;0.026
RPL9;0.026
IGF1;0.026
SP1;0.025
MPDZ;0.025
PKN1;0.025
GHR;0.025
HGS;0.025
NEK2;0.025
DTNA;0.025
ANXA2;0.025
PTPN21;0.025
PBK;0.025
DDX1;0.025
CCNA2;0.025
PPIC;0.025
HOXA5;0.025
SALL2;0.025
PSMF1;0.025
SGSM2;0.025
ADRA2C;0.025
SGMS1;0.025
CBX3;0.024
SNRK;0.024
ID3;0.024
CDH1;0.024
EFNA3;0.024
TUBB;0.024
MORF4L2;0.024
DLG1;0.024
CCT7;0.024
CTTN;0.024
CASP4;0.024
NDEL1;0.024
EIF3J;0.024
CRY1;0.024
CLIC3;0.024
KIF4A;0.024
MRPL17;0.024
LEF1;0.024
FLNC;0.024
FAIM2;0.024
WDR37;0.024
CBL;0.023
YBX1;0.023
SWAP70;0.023
MAP3K5;0.023
RGS2;0.023
TRAF2;0.023
STX1A;0.023
FARP2;0.023
RANBP2;0.023
PROX1;0.023
INSR;0.023
PPP2R1A;0.023
RFC4;0.023
CENPF;0.023
ITPKB;0.023
PSMD7;0.023
ZDHHC3;0.023
SPRR3;0.023
SLC7A8;0.023
MAPK1;0.022
CMA1;0.022
PLD2;0.022
RPA1;0.022
CLTC;0.022
RPS6KB1;0.022
HOMER3;0.022
MET;0.022
DHFR;0.022
TRADD;0.022
PDZRN3;0.022
RGS5;0.022
PSMD1;0.022
BLMH;0.022
HSPB3;0.022
QSOX1;0.022
PLEKHA1;0.022
CST3;0.022
IL6R;0.022
SDC3;0.022
ETS1;0.022
HSD17B10;0.022
HOXB2;0.022
LOX;0.022
CDK2AP2;0.022
ZNF276;0.022
PIK3R2;0.021
TBCB;0.021
CTBP1;0.021
MAFG;0.021
DUT;0.021
RAP1A;0.021
NUP98;0.021
PER3;0.021
STAT6;0.021
TRIM28;0.021
BMPR1B;0.021
PYGB;0.021
TRAF3IP2;0.021
HRK;0.021
GNAS;0.021
TESK2;0.021
RAB6B;0.021
NOV;0.021
LAMA4;0.021
SELENBP1;0.021
MAP7D1;0.021
ARIH2;0.021
HOXA11;0.021
KANK1;0.021
CHRD;0.021
MYH14;0.021
CD34;0.021
RHOA;0.02
TP73;0.02
ATM;0.02
RAD23A;0.02
BCL2A1;0.02
SF3A3;0.02
TCF3;0.02
RNPS1;0.02
PDZK1IP1;0.02
FN1;0.02
PFN2;0.02
ALDOC;0.02
ARHGDIA;0.019
MAGI1;0.019
BUB3;0.019
BUB1;0.019
HSPA5;0.019
ELK1;0.019
ZFYVE9;0.019
PAFAH1B1;0.019
NR1H2;0.019
HOMER1;0.019
JAK2;0.019
YWHAE;0.019
PTK6;0.019
WASF2;0.019
NR2C1;0.019
CDC37;0.019
MBIP;0.019
DACH1;0.019
MAPKBP1;0.019
CAP1;0.019
DAZAP2;0.019
NMD3;0.019
NET1;0.019
SLC16A10;0.019
IGF1R;0.019
GNB1;0.019
CNOT4;0.019
ALOX12B;0.019
ENTPD6;0.019
TGFBR2;0.018
SNX1;0.018
PRG2;0.018
DUSP7;0.018
PPARD;0.018
PBX2;0.018
ANXA7;0.018
CEBPE;0.018
EPHB1;0.018
IKBKG;0.018
LIMK1;0.018
CAV2;0.018
BMPR1A;0.018
ZFP36;0.018
TOP1;0.018
ARRB1;0.018
GDPD2;0.018
OLFML3;0.018
SRF;0.017
SMAD9;0.017
RARB;0.017
TGFB1;0.017
HSPA13;0.017
NUCB1;0.017
SOCS6;0.017
GAS2;0.017
NIF3L1;0.017
BTF3;0.017
AKT2;0.017
S100A2;0.017
POLR2L;0.017
PCM1;0.017
AMOTL2;0.017
AHSA1;0.017
ENPP1;0.017
PLXNB1;0.017
SCN1B;0.017
DPP3;0.017
IL33;0.017
ISYNA1;0.017
HOXD11;0.017
TOB1;0.016
PRKACA;0.016
PDGFRB;0.016
FAF1;0.016
IKBKB;0.016
XRCC6;0.016
EFNA4;0.016
RBBP7;0.016
GGA1;0.016
PAX6;0.016
RYBP;0.016
ENG;0.016
PSORS1C2;0.016
VPS16;0.016
AKTIP;0.016
CDC40;0.016
EGR1;0.016
ATP2B1;0.016
CRYAB;0.016
SNRPG;0.016
NUPR1;0.016
CUEDC2;0.016
EDNRA;0.016
MAPK3;0.015
HDAC4;0.015
CA2;0.015
MED1;0.015
DYNLL1;0.015
PLAU;0.015
PKIA;0.015
AP2B1;0.015
POLR2A;0.015
PFDN5;0.015
BCAS2;0.015
EED;0.015
PYCARD;0.015
GSPT1;0.015
NOL3;0.015
SMAD6;0.015
CDH3;0.015
PSMB3;0.015
CALCOCO2;0.015
PTTG1IP;0.015
TIPARP;0.015
NFIX;0.015
MAZ;0.015
DOK5;0.015
ATXN2L;0.015
CEND1;0.015
EPN3;0.015
ZNF609;0.015
NAV2;0.014
CTSG;0.014
SCN5A;0.014
RAC1;0.014
STIP1;0.014
DCTN1;0.014
LTF;0.014
PPFIA2;0.014
PPFIA3;0.014
EPRS;0.014
PACSIN3;0.014
NFYB;0.014
RARA;0.014
AES;0.014
PTPN12;0.014
VRK1;0.014
BCL6;0.014
JUNB;0.014
TRIM27;0.014
ZNF408;0.014
PKNOX1;0.014
TNFRSF10B;0.014
VIP;0.014
GAPDH;0.014
FHL5;0.014
DNAJB6;0.014
CPE;0.014
SIK1;0.014
HMGB1;0.014
HMOX2;0.014
CYB5R1;0.014
ATP6V0C;0.014
LOR;0.014
PHACTR4;0.014
RBCK1;0.014
GPBP1L1;0.014
KIF14;0.014
TYK2;0.013
RPH3AL;0.013
NCOA1;0.013
SLC9A3R2;0.013
MED24;0.013
CASP6;0.013
XRCC5;0.013
E2F1;0.013
SPTAN1;0.013
SOX9;0.013
GRK5;0.013
CXCR2;0.013
ARF6;0.013
FGFR3;0.013
SPG21;0.013
AP3D1;0.013
IDH3A;0.013
RFXANK;0.013
BCL2L11;0.013
CEACAM1;0.013
MCM4;0.013
RNF7;0.013
LAD1;0.013
S100A6;0.013
GTF3C1;0.013
CHN1;0.013
DOCK9;0.013
RAB5A;0.013
PAICS;0.013
ITM2B;0.013
FZD7;0.013
FASTKD5;0.013
RBM23;0.013
TGFA;0.013
DHX34;0.013
IDE;0.013
AGTPBP1;0.013
YLPM1;0.013
ANKRD27;0.013
ARID1A;0.013
CD9;0.012
NCOA3;0.012
PDE6D;0.012
UBTF;0.012
CDC6;0.012
TARBP2;0.012
PDLIM5;0.012
LSM1;0.012
RALGPS1;0.012
GRIN2B;0.012
CEP55;0.012
CHEK1;0.012
CHD3;0.012
NOLC1;0.012
MICAL1;0.012
EPHB3;0.012
CHD1;0.012
SKI;0.012
RXRG;0.012
CD93;0.012
COL1A2;0.012
PHB;0.012
VCAM1;0.012
NID1;0.012
SOD3;0.012
ENOX2;0.012
DDX19A;0.012
FAM107A;0.012
DNMT1;0.012
CRCT1;0.012
PGS1;0.012
SPHK2;0.012
HAVCR1;0.012
LMNB2;0.012
PUM1;0.012
SOCS5;0.012
C16orf45;0.012
WSB2;0.012
PTPN18;0.011
CD4;0.011
UBE2I;0.011
ZMYND8;0.011
CTBP2;0.011
CNTNAP1;0.011
DEF6;0.011
BMP4;0.011
CLU;0.011
CAMK2A;0.011
PDPK1;0.011
PRKAR1A;0.011
RPS6KA3;0.011
SDPR;0.011
PPARG;0.011
MDM2;0.011
FANCA;0.011
AXL;0.011
SH3PXD2A;0.011
TGFB2;0.011
MAP3K12;0.011
CTNNA1;0.011
ERCC5;0.011
B2M;0.011
PNRC1;0.011
MGP;0.011
SYNC;0.011
BRD4;0.011
CKAP5;0.011
GNAI2;0.011
MACF1;0.011
FAM57A;0.011
APLP2;0.011
ARFGAP3;0.011
SLC16A2;0.011
ADCY7;0.011
FTH1;0.011
CDSN;0.011
UBE2C;0.011
DLST;0.011
KIF11;0.011
TOP2A;0.011
NDUFS7;0.011
QTRT1;0.011
FLOT2;0.011
NYNRIN;0.011
CD36;0.01
GDI2;0.01
NEDD9;0.01
TAF1;0.01
SLC9A3R1;0.01
ARHGAP1;0.01
NPDC1;0.01
PFN1;0.01
PDGFRA;0.01
CDH5;0.01
MAP2K4;0.01
ATF7IP;0.01
METAP2;0.01
LCMT1;0.01
ACP1;0.01
RIN1;0.01
RAP2A;0.01
BRCA2;0.01
PCSK5;0.01
PSMC3IP;0.01
PAK2;0.01
CSF3R;0.01
TFAP2B;0.01
SH3GL3;0.01
PAK4;0.01
CSRP1;0.01
EXOSC4;0.01
PDIA2;0.01
CYFIP2;0.01
MAP1S;0.01
ABCA1;0.01
PTPRN;0.01
BBS4;0.01
TCF12;0.01
FST;0.01
FBXL2;0.01
MYOC;0.01
PDLIM4;0.01
CDKN1A;0.01
PTPRU;0.01
TUBGCP4;0.01
TK1;0.01
ACTN2;0.01
LTBP1;0.01
FANCL;0.01
ACTC1;0.01
DRD2;0.01
ID2;0.01
APLP1;0.01
ENOX1;0.01
CWC25;0.01
ARL15;0.01
NOC4L;0.01
CD19;0.01
LRPAP1;0.01
RPL35A;0.01
TXNRD1;0.01
VDAC3;0.01
HBEGF;0.01
CD63;0.01
ASAP3;0.01
PCDH7;0.01
MYH10;0.01
EVL;0.009
AR;0.009
FZR1;0.009
MEOX2;0.009
NCOR1;0.009
S100B;0.009
SNX2;0.009
NCOA6;0.009
PARP2;0.009
SPARCL1;0.009
APOE;0.009
DUSP4;0.009
MYLK;0.009
TPM3;0.009
HDAC2;0.009
HOMER2;0.009
NEDD8;0.009
COL4A1;0.009
ABI2;0.009
LFNG;0.009
MAPKAPK2;0.009
GRM1;0.009
CDC14A;0.009
CSE1L;0.009
RAMP2;0.009
AMPH;0.009
ACLY;0.009
ACVR2B;0.009
SUPT5H;0.009
PKP4;0.009
HNRNPF;0.009
ERF;0.009
MKL1;0.009
CRY2;0.009
EHD2;0.009
MPHOSPH6;0.009
NEK9;0.009
EIF3G;0.009
NPPA;0.009
GNAI1;0.009
PPID;0.009
EZR;0.009
CSTB;0.009
CKS2;0.009
SKIL;0.009
MYO1C;0.009
SLC9A1;0.009
EMD;0.009
KRT81;0.009
PHF10;0.009
ZNF337;0.009
SGCE;0.009
ELF4;0.009
CTNNA2;0.009
KLK1;0.009
TUSC3;0.009
MECOM;0.009
CNR1;0.009
CTNNBL1;0.009
HOXD13;0.009
TRIM16;0.009
IL6ST;0.008
ERBB4;0.008
MAPK8;0.008
GTF2B;0.008
OSMR;0.008
STAT1;0.008
SUMO1;0.008
TRIP4;0.008
SPIB;0.008
TLE4;0.008
SLC2A4;0.008
PPM1A;0.008
KNG1;0.008
APTX;0.008
KIFAP3;0.008
CDKN1C;0.008
APEX2;0.008
PPFIBP1;0.008
TMF1;0.008
DYRK1B;0.008
UBAC1;0.008
COPS2;0.008
NFKBIB;0.008
SPAG5;0.008
EPOR;0.008
RAB11A;0.008
MUC1;0.008
MCRS1;0.008
HIPK2;0.008
ACTL6A;0.008
GPS2;0.008
NXF1;0.008
UPP1;0.008
RAB3D;0.008
PRPF6;0.008
AVEN;0.008
MOAP1;0.008
PDE4DIP;0.008
AP2M1;0.008
NEUROD1;0.008
COL2A1;0.008
DDB1;0.008
NBN;0.008
GREM2;0.008
INHBB;0.008
STX5;0.008
GLRX2;0.008
MAP3K2;0.008
MCM3;0.008
ADORA2B;0.008
EIF3D;0.008
MVP;0.008
TOMM20;0.008
DST;0.008
PRKCSH;0.008
KCNN2;0.008
CDK5RAP1;0.008
MALT1;0.008
PLEKHO1;0.008
SGSM3;0.008
GADD45A;0.008
RAB38;0.008
BDNF;0.008
TAGLN;0.008
CHCHD3;0.008
THAP7;0.008
TRDMT1;0.008
MYH9;0.008
FAM162A;0.008
SPTBN1;0.008
UCHL1;0.008
ZFP36L1;0.008
PRPH;0.008
MYBL1;0.008
UXS1;0.008
NDUFB3;0.008
ORAI2;0.008
RSRC2;0.008
TLE1;0.007
PTPN11;0.007
LCK;0.007
ARAF;0.007
SMAD3;0.007
PAX5;0.007
CDKN1B;0.007
